,Unnamed: 0,Num.RBD,geometry,x,y,values
0,0,24322,POINT (262415.6601957146 4209897.302098037),262415.660195714,4209897.30209803,127629.0
1,1,40262,POINT (258926.35097917268 4262507.651761825),258926.350979172,4262507.65176182,123262.0
2,2,8421,POINT (258788.46423169516 4262503.366052965),258788.464231695,4262503.36605296,121999.0
3,3,886772,POINT (258336.2502018236 4262514.244953731),258336.250201823,4262514.24495373,122050.0
4,4,8413,POINT (258500.90445331048 4262545.256150971),258500.90445331,4262545.25615097,119979.0
5,5,881272,POINT (258265.016199022 4263014.825246324),258265.016199022,4263014.82524632,124778.0
6,6,8412,POINT (258529.3091852036 4263064.33548905),258529.309185203,4263064.33548905,132646.0
7,7,8415,POINT (259177.28156566914 4263191.017854873),259177.281565669,4263191.01785487,122276.0
8,8,885739,POINT (259008.55254240334 4263218.924023832),259008.552542403,4263218.92402383,127038.0
9,9,8416,POINT (257934.5429756495 4263204.032651967),257934.542975649,4263204.03265196,133493.0
10,10,24317,POINT (259175.5128379064 4263272.118061492),259175.512837906,4263272.11806149,124266.0
11,11,8422,POINT (258017.3606377041 4263402.745743107),258017.360637704,4263402.7457431,136046.0
12,12,912057,POINT (257876.43521652534 4263512.574331835),257876.435216525,4263512.57433183,132929.0
13,13,886769,POINT (257977.8374465541 4263675.620395785),257977.837446554,4263675.62039578,135307.0
14,14,886766,POINT (257977.8374465541 4263675.620395785),257977.837446554,4263675.62039578,129029.0
15,15,886768,POINT (257977.8374465541 4263675.620395785),257977.837446554,4263675.62039578,129350.0
16,16,8411,POINT (257886.50710323954 4263796.432756829),257886.507103239,4263796.43275682,132721.0
17,17,24300,POINT (257813.36015146904 4263824.368815142),257813.360151469,4263824.36881514,129872.0
18,18,8417,POINT (258507.42420442108 4264202.854354841),258507.424204421,4264202.85435484,123165.0
19,19,24332,POINT (258502.49861464556 4264243.503332357),258502.498614645,4264243.50333235,128284.0
20,20,8420,POINT (269180.4824991552 4277292.593806349),269180.482499155,4277292.59380634,136537.0
21,21,8423,POINT (266544.73176188604 4316465.658569092),266544.731761886,4316465.65856909,154061.0
22,22,8391,POINT (226634.89941385767 5125928.950436122),226634.899413857,5125928.95043612,189570.0
23,23,8306,POINT (227374.08366934978 5188021.04829513),227374.083669349,5188021.04829513,185457.0
24,24,8322,POINT (218825.4762236395 5302800.922553483),218825.476223639,5302800.92255348,124961.0
25,25,8329,POINT (216260.4623126075 5352734.761794319),216260.462312607,5352734.76179431,89869.0
26,26,7759,POINT (218141.06701148552 5379534.563816194),218141.067011485,5379534.56381619,90566.0
27,27,887269,POINT (225364.5019622256 5382258.924436451),225364.501962225,5382258.92443645,91956.0
28,28,22093,POINT (219830.3267274134 5386669.675792481),219830.326727413,5386669.67579248,90914.0
29,29,7762,POINT (222932.32786381815 5387290.245035733),222932.327863818,5387290.24503573,91845.0
30,30,8351,POINT (260410.29685231703 4947991.130118574),260410.296852317,4947991.13011857,67343.0
31,31,24233,POINT (262653.0007408345 4948103.000665313),262653.000740834,4948103.00066531,69018.0
32,32,8352,POINT (261989.27764532712 4948131.65068845),261989.277645327,4948131.65068845,73271.0
33,33,8366,POINT (261635.52057318328 4948203.563204242),261635.520573183,4948203.56320424,68479.0
34,34,24206,POINT (261820.31253919192 4948327.322305578),261820.312539191,4948327.32230557,67940.0
35,35,24224,POINT (260467.15229276003 4948390.114523022),260467.15229276,4948390.11452302,64416.0
36,36,24231,POINT (261390.22754468437 4948463.463484645),261390.227544684,4948463.46348464,67182.0
37,37,24236,POINT (260795.03177047093 4948462.918636828),260795.03177047,4948462.91863682,65007.0
38,38,8368,POINT (261099.01168818778 4948478.873937444),261099.011688187,4948478.87393744,63448.0
39,39,16983,POINT (260463.38319850445 4948480.329872695),260463.383198504,4948480.32987269,62751.0
40,40,8367,POINT (260743.87848221866 4948696.594144093),260743.878482218,4948696.59414409,62350.0
41,41,8348,POINT (261818.0361127786 4948746.466474819),261818.036112778,4948746.46647481,70618.0
42,42,24215,POINT (260440.05266934136 4948755.068002379),260440.052669341,4948755.06800237,64200.0
