Num.RBD,geometry,x,y,values
24322,POINT (262415.6601957146 4209897.302098037),262415.6601957146,4209897.302098037,-126590777.0203128
40262,POINT (258926.35097917268 4262507.651761825),258926.35097917268,4262507.651761825,-126441465.09662059
8421,POINT (258788.46423169516 4262503.366052965),258788.46423169516,4262503.366052965,-126444568.44091007
886772,POINT (258336.2502018236 4262514.244953731),258336.2502018236,4262514.244953731,-126454638.63476509
8413,POINT (258500.90445331048 4262545.256150971),258500.90445331048,4262545.256150971,-126450821.39515828
881272,POINT (258265.016199022 4263014.825246324),258265.016199022,4263014.825246324,-126454075.61475456
8412,POINT (258529.3091852036 4263064.33548905),258529.3091852036,4263064.33548905,-126447950.18483163
8415,POINT (259177.28156566914 4263191.017854873),259177.28156566914,4263191.017854873,-126432909.6899207
885739,POINT (259008.55254240334 4263218.924023832),259008.55254240334,4263218.924023832,-126436564.02185293
8416,POINT (257934.5429756495 4263204.032651967),257934.5429756495,4263204.032651967,-126460652.7750951
24317,POINT (259175.5128379064 4263272.118061492),259175.5128379064,4263272.118061492,-126432600.21794592
8422,POINT (258017.3606377041 4263402.745743107),258017.3606377041,4263402.745743107,-126457944.05868068
912057,POINT (257876.43521652534 4263512.574331835),257876.43521652534,4263512.574331835,-126460622.9536997
886769,POINT (257977.8374465541 4263675.620395785),257977.8374465541,4263675.620395785,-126457652.37950234
886766,POINT (257977.8374465541 4263675.620395785),257977.8374465541,4263675.620395785,-126457652.37950234
886768,POINT (257977.8374465541 4263675.620395785),257977.8374465541,4263675.620395785,-126457652.37950234
8411,POINT (257886.50710323954 4263796.432756829),257886.50710323954,4263796.432756829,-126459174.55430621
24300,POINT (257813.36015146904 4263824.368815142),257813.36015146904,4263824.368815142,-126460690.1662584
8417,POINT (258507.42420442108 4264202.854354841),258507.42420442108,4264202.854354841,-126443537.02579463
24332,POINT (258502.49861464556 4264243.503332357),258502.49861464556,4264243.503332357,-126443472.16965367
8420,POINT (269180.4824991552 4277292.593806349),269180.4824991552,4277292.593806349,-126149119.70934655
8423,POINT (266544.73176188604 4316465.658569092),266544.73176188604,4316465.658569092,-126042148.5510652
8391,POINT (226634.89941385767 5125928.950436122),226634.89941385767,5125928.950436122,-123726853.22438139
8306,POINT (227374.08366934978 5188021.04829513),227374.08366934978,5188021.04829513,-123491816.40318315
8322,POINT (218825.4762236395 5302800.922553483),218825.4762236395,5302800.922553483,-123251983.69803141
8329,POINT (216260.4623126075 5352734.761794319),216260.4623126075,5352734.761794319,-123127497.04907331
7759,POINT (218141.06701148552 5379534.563816194),218141.06701148552,5379534.563816194,-123000604.1751661
887269,POINT (225364.5019622256 5382258.924436451),225364.5019622256,5382258.924436451,-122857061.4575121
22093,POINT (219830.3267274134 5386669.675792481),219830.3267274134,5386669.675792481,-122944876.33658901
7762,POINT (222932.32786381815 5387290.245035733),222932.32786381815,5387290.245035733,-122885155.97595811
8351,POINT (260410.29685231703 4947991.130118574),260410.29685231703,4947991.130118574,-123707514.57946262
24233,POINT (262653.0007408345 4948103.000665313),262653.0007408345,4948103.000665313,-123662616.92369205
8352,POINT (261989.27764532712 4948131.65068845),261989.27764532712,4948131.65068845,-123675681.07694982
8366,POINT (261635.52057318328 4948203.563204242),261635.52057318328,4948203.563204242,-123682438.91458109
24206,POINT (261820.31253919192 4948327.322305578),261820.31253919192,4948327.322305578,-123678325.04766834
24224,POINT (260467.15229276003 4948390.114523022),260467.15229276003,4948390.114523022,-123704941.09951214
24231,POINT (261390.22754468437 4948463.463484645),261390.22754468437,4948463.463484645,-123686364.25145757
24236,POINT (260795.03177047093 4948462.918636828),260795.03177047093,4948462.918636828,-123698173.24510735
8368,POINT (261099.01168818778 4948478.873937444),261099.01168818778,4948478.873937444,-123692085.39581873
16983,POINT (260463.38319850445 4948480.329872695),260463.38319850445,4948480.329872695,-123704689.02143678
8367,POINT (260743.87848221866 4948696.594144093),260743.87848221866,4948696.594144093,-123698341.60833868
8348,POINT (261818.0361127786 4948746.466474819),261818.0361127786,4948746.466474819,-123676853.47837393
24215,POINT (260440.05266934136 4948755.068002379),260440.05266934136,4948755.068002379,-123704156.47994813
11608,POINT (261323.25139075104 4948868.063716882),261323.25139075104,4948868.063716882,-123686228.20258844
24214,POINT (261094.1142129957 4948941.346140068),261094.1142129957,4948941.346140068,-123690508.0499247
8365,POINT (260636.46511104537 4948930.678717433),260636.46511104537,4948930.678717433,-123699624.39871885
8349,POINT (260408.69254655435 4949075.455988213),260408.69254655435,4949075.455988213,-123703617.85358988
8345,POINT (260350.48201452586 4949256.57430648),260350.48201452586,4949256.57430648,-123704116.30476353
8355,POINT (266390.9419026823 4971666.879777137),266390.9419026823,4971666.879777137,-123503733.63144769
16975,POINT (263776.32273970323 4974479.75987305),263776.32273970323,4974479.75987305,-123545314.22344257
8403,POINT (256213.1089286705 4887648.913245575),256213.1089286705,4887648.913245575,-124011718.16749227
8354,POINT (248982.89713073475 4937521.16222714),248982.89713073475,4937521.16222714,-123972515.51468036
8380,POINT (252367.27272115127 4998493.969722997),252367.27272115127,4998493.969722997,-123683826.50823946
8369,POINT (251207.00028184886 5040376.000705817),251207.00028184886,5040376.000705817,-123556121.60426003
8370,POINT (241901.76121573307 5095337.145050736),241901.76121573307,5095337.145050736,-123541034.69046935
8344,POINT (247174.89946868166 5156172.1766602015),247174.89946868166,5156172.1766602015,-123224488.32291213
8342,POINT (247172.94259009112 5181877.124904647),247172.94259009112,5181877.124904647,-123134794.58698691
7760,POINT (225636.00768804998 5382421.400216959),225636.00768804998,5382421.400216959,-122851463.522651
7757,POINT (227656.71067780355 5384379.396227198),227656.71067780355,5384379.396227198,-122807268.99931198
7761,POINT (225839.91311816458 5413691.832582293),225839.91311816458,5413691.832582293,-122741859.9459951
7770,POINT (223788.77029626624 5394630.885365527),223788.77029626624,5394630.885365527,-122844336.61203982
7767,POINT (221310.34348647657 5396453.696097932),221310.34348647657,5396453.696097932,-122884126.49925114
7758,POINT (221732.83552647906 5400817.497538043),221732.83552647906,5400817.497538043,-122861480.47549579
7753,POINT (223930.43940529396 5401231.163985298),223930.43940529396,5401231.163985298,-122819341.57026766
7765,POINT (221789.22860723798 5406936.086880925),221789.22860723798,5406936.086880925,-122839692.9896028
7756,POINT (221732.2260599797 5412732.920591225),221732.2260599797,5412732.920591225,-122821120.37134412
7741,POINT (214357.97951821447 5440442.896715718),214357.97951821447,5440442.896715718,-122863556.29844628
7479,POINT (212726.61832969723 5468850.238401098),212726.61832969723,5468850.238401098,-122797674.94747382
7469,POINT (218940.46434772812 5473390.2103202),218940.46434772812,5473390.2103202,-122668351.23156446
7465,POINT (218110.40760799684 5489627.2590757245),218110.40760799684,5489627.2590757245,-122629252.27141
7502,POINT (232602.64546608104 5468289.141994836),232602.64546608104,5468289.141994836,-122434449.0031596
22153,POINT (236216.00055306277 5525817.001131831),236216.00055306277,5525817.001131831,-122178651.11672744
7316,POINT (236068.00013595965 5529370.000218604),236068.00013595965,5529370.000218604,-122169721.74898495
7312,POINT (236422.00032691628 5529958.000585109),236422.00032691628,5529958.000585109,-122161344.75235695
7303,POINT (227299.13585920393 5531947.989727391),227299.13585920393,5531947.989727391,-122321074.56020275
7307,POINT (222178.80059695413 5536105.8724355325),222178.80059695413,5536105.8724355325,-122400624.95679654
22125,POINT (227928.00082710118 5539677.000510418),227928.00082710118,5539677.000510418,-122284211.13527943
6848,POINT (226153.00065040268 5540140.000211739),226153.00065040268,5540140.000211739,-122314994.46989411
7304,POINT (223461.14136116754 5541045.061559348),223461.14136116754,5541045.061559348,-122360999.13937122
7311,POINT (226170.0000557743 5543988.000409816),226170.0000557743,5543988.000409816,-122302035.77779077
7252,POINT (210249.92723155173 5496615.934625311),210249.92723155173,5496615.934625311,-122749728.67098767
7262,POINT (200753.9900251389 5496437.804798277),200753.9900251389,5496437.804798277,-122924003.96344244
7250,POINT (205180.0886088137 5497906.8739952855),205180.0886088137,5497906.8739952855,-122838113.27363333
7273,POINT (202455.09976078797 5499581.83724374),202455.09976078797,5499581.83724374,-122882290.78565197
7285,POINT (200069.00061363907 5506019.001130492),200069.00061363907,5506019.001130492,-122904178.04291503
7292,POINT (198411.00011984998 5508953.000662255),198411.00011984998,5508953.000662255,-122924550.9910155
22159,POINT (200534.00004031492 5511043.00023001),200534.00004031492,5511043.00023001,-122878752.34808107
7295,POINT (199144.00023822836 5518353.000633496),199144.00023822836,5518353.000633496,-122879488.85706794
7318,POINT (206006.00024019845 5526515.000919612),206006.00024019845,5526515.000919612,-122727032.82068488
22758,POINT (197866.0000546074 5529083.000452955),197866.0000546074,5529083.000452955,-122866666.6549655
12188,POINT (211771.00080461323 5498606.000317774),211771.00080461323,5498606.000317774,-122715235.26197304
7283,POINT (211558.000308369 5503427.000570545),211558.000308369,5503427.000570545,-122702984.8005375
7302,POINT (218153.24943963165 5530585.038197286),218153.24943963165,5530585.038197286,-122492192.88401711
7301,POINT (213042.7667195369 5530865.7918817075),213042.7667195369,5530865.7918817075,-122584344.98327997
7305,POINT (218502.02244905545 5536845.066055736),218502.02244905545,5536845.066055736,-122465113.5062021
6991,POINT (212156.89545063803 5542922.039271864),212156.89545063803,5542922.039271864,-122560405.77805898
40152,POINT (211615.75363284262 5551188.015543521),211615.75363284262,5551188.015543521,-122542815.42473494
6983,POINT (211433.98813291872 5552096.780329577),211433.98813291872,5552096.780329577,-122543103.56297661
7004,POINT (211245.08069876226 5552135.896313399),211245.08069876226,5552135.896313399,-122546404.60118061
22754,POINT (211514.9796351433 5552188.083025236),211514.9796351433,5552188.083025236,-122541329.9727625
24325,POINT (257288.0006871645 4351162.24747297),257288.0006871645,4351162.24747297,-126100386.10983336
8409,POINT (236322.9132020793 4625284.7921101255),236322.9132020793,4625284.7921101255,-125425481.34856068
8408,POINT (229690.2668103997 4760179.16711246),229690.2668103997,4760179.16711246,-125030702.90671015
8397,POINT (236480.08149975055 4822935.846540623),236480.08149975055,4822935.846540623,-124651250.27175231
8390,POINT (216401.09698459622 5085920.801939998),216401.09698459622,5085920.801939998,-124069236.72959483
8304,POINT (216395.61846240202 5232208.728587746),216395.61846240202,5232208.728587746,-123544846.97164436
8327,POINT (212127.59785840643 5327558.574589036),212127.59785840643,5327558.574589036,-123291695.76856256
8328,POINT (213868.01187512284 5334801.84943876),213868.01187512284,5334801.84943876,-123234043.6629697
22027,POINT (212522.43736402912 5348003.085352384),212522.43736402912,5348003.085352384,-123213557.2389937
8325,POINT (212443.55161295529 5348011.767653237),212443.55161295529,5348011.767653237,-123214999.64934567
8398,POINT (217350.1055685719 4805583.10737991),217350.1055685719,4805583.10737991,-125105179.85089445
40137,POINT (211094.34015928 4964013.548720047),211094.34015928,4964013.548720047,-124624426.92412181
11612,POINT (211438.38685394707 4964162.250801593),211438.38685394707,4964162.250801593,-124617073.75157136
8375,POINT (211422.9880369951 4964462.475738198),211422.9880369951,4964462.475738198,-124616248.52607645
24229,POINT (211125.09704456606 4964456.147482771),211125.09704456606,4964456.147482771,-124622154.30671082
887072,POINT (211125.09704456606 4964456.147482771),211125.09704456606,4964456.147482771,-124622154.30671082
8374,POINT (211390.73478332435 4964787.1466957815),211390.73478332435,4964787.1466957815,-124615664.18826984
24223,POINT (210442.20689219155 4964794.110668041),210442.20689219155,4964794.110668041,-124634365.77619672
24203,POINT (210618.53916333063 4965058.108275277),210618.53916333063,4965058.108275277,-124629890.78405118
24230,POINT (210888.3110299551 4965081.936877603),210888.3110299551,4965081.936877603,-124624474.99824277
8377,POINT (210657.42918406642 4965082.991891634),210657.42918406642,4965082.991891634,-124629029.3368377
8384,POINT (210404.15417969454 4965113.373970054),210404.15417969454,4965113.373970054,-124633915.34319325
24209,POINT (210407.34254281438 4965139.647232434),210407.34254281438,4965139.647232434,-124633753.50627145
24207,POINT (210690.7417500515 4965404.355982721),210690.7417500515,4965404.355982721,-124627162.3750473
8379,POINT (210646.98249479732 4965570.043712414),210646.98249479732,4965570.043712414,-124627402.80849616
8382,POINT (211506.93804165366 4966074.998834071),211506.93804165366,4966074.998834071,-124608527.14297779
887071,POINT (211339.12093001773 4966354.803727587),211339.12093001773,4966354.803727587,-124610787.85329543
8376,POINT (211339.12093001773 4966354.803727587),211339.12093001773,4966354.803727587,-124610787.85329543
8388,POINT (208508.7422732397 5040766.002693576),208508.7422732397,5040766.002693576,-124388629.88201678
24201,POINT (208833.00069542532 5040851.000372817),208833.00069542532,5040851.000372817,-124381987.9876039
8399,POINT (208941.85236919363 4785878.15528557),208941.85236919363,4785878.15528557,-125352816.58468358
24218,POINT (195881.00016782893 5046692.00117563),195881.00016782893,5046692.00117563,-124612800.4663186
8305,POINT (186178.5827457747 5259734.457118061),186178.5827457747,5259734.457118061,-124018768.34849668
8299,POINT (186074.72256548703 5280484.230007454),186074.72256548703,5280484.230007454,-123946425.60366312
8303,POINT (186826.585692304 5285290.679946197),186826.585692304,5285290.679946197,-123915120.03412984
8323,POINT (181016.49306577345 5351899.896162884),181016.49306577345,5351899.896162884,-123787480.98946947
8330,POINT (180891.47810432804 5353652.53279937),180891.47810432804,5353652.53279937,-123783621.7878315
7782,POINT (175932.70175677713 5356884.960238398),175932.70175677713,5356884.960238398,-123864530.86016244
7805,POINT (173267.0671075867 5375190.037782399),173267.0671075867,5375190.037782399,-123849342.36118174
